Divine Word College of Urdaneta,Cagayan State University-Tuguegarao (Carig),Bataan Peninsula State University,Batangas College of Arts and Sciences,EMA EMITS College Philippines,Bicol College,Balete Community College,Blessed Trinity College,Colegio de San Lorenzo Ruiz de Manila of Northern,"Colegio de San Francisco Javier of Rizal Zamboanga del Norte, Incorporated",Don Carlos Polytechnic College,Cor Jesu College,Edenton Mission College,Candelaria Institute of Technology of Cabadbaran,Assumption College,BSBT College,Basilan State College-Lamitan
Divine Word College of Vigan,F.L. Vargas College-Abulug,Bataan Peninsula State University-Abucay,Batangas Eastern Colleges,Fullbright College,Bicol State College of Applied Sciences and Technology,Batan Integrated College of Technology,Bohol Institute of Technology-Jagna,Eastern Samar State University,Dipolog City Institute of Technology,Dr. Solomon U. Molina College,Davao Central College,General Santos Academy,Caraga Institute of Technology,Bernardo College,BVS College,Basilan State College-Maluso
Don Mariano Marcos Memorial State University-Mid La Union,FL Vargas College-Tuguegarao,Bataan Peninsula State University-Bagac,Batangas State University-Balayan,Grace Mission College,Bicol Training and Technological College,Bicol State College of Applied Sciences and Technology,Bohol Island State University – Bilar,Eastern Samar State University-Can-Avid,DMC College Foundation,Fatima College of Camiguin,Davao de Oro State College,Gensan College of Technology,Caraga State University-Cabadbaran,Bestlink College of the Philippines,Cordillera Career Development College,Binnor Pangandaman Integrated College
Don Mariano Marcos Memorial State University-North La Union,HGBaquiran College,Bataan Peninsula State University-Balanga,Batangas State University-Lemery,Holy Trinity University,Bicol University Gubat Campus,Bicol University-Main,Bohol Island State University – Calape Polytechnic,Eastern Samar State University-Guiuan,Dr. Aurelio Mendoza Memorial Colleges,Gingoog Christian College,Davao de Oro State College-Maragusan,Gensantos Foundation College,Caraga State University-Main,Central Colleges of the Philippines,Divine Word College of Bangued,Cali Paramedical College Foundation
Don Mariano Marcos Memorial State University-Open University System,Infant Jesus Montessori School (College Department),Bataan Peninsula State University-Dinalupihan,Batangas State University-Lipa City,Innovative College of Science and Technology,Bicol University-College of Agriculture and Forestry,Bicol University-Polangui Campus,Bohol Island State University – Candijay,Eastern Samar State University-Maydolong,Eastern Mindanao College of Technology,Gingoog City College,Davao de Oro State College-Montevista,Glan Institute of Technology,De La Salle John Bosco College,Centro Escolar University-Manila,Easter College,Central Sulu College
Don Mariano Marcos Memorial State University-South La Union,International School of Asia and the Pacific,Bataan Peninsula State University-Orani,Batangas State University-Lobo,John Paul College,Bicol University-Main,Binalbagan Catholic College,Bohol Island State University – Clarin,Eastern Samar State University-Salcedo,Ebenezer Bible College and Seminary,Golden Heritage Polytechnic College,Davao de Oro State College-New Bataan,Goldenstate College,Don Jose Ecleo Memorial Foundation College of Science and Technology,Chiang Kai Shek College,Ifugao State University – Lagawe Campus,Coland Systems Technology
Golden West Colleges,Isabela Colleges,Bestlink College of the Philippines-Bulacan,Batangas State University-Main,Luna Goco Colleges-Calapan,Bicol University-Polangui Campus,Cabarrus Catholic College,Bohol Island State University – Tagbilaran,Eastern Visayas Central Colleges,HMIJ Foundation Philippine Islamic College,Gov. Alfonso D. Tan College,Davao Del Norte State College,Goldenstate College of Kiamba,Father Saturnino Urios University,Children of Mary Immaculate College,Ifugao State University – Main,Cotabato State University
Ilocos Sur Polytechnic State College-Candon,Isabela State University-Angadanan,Bulacan Agricultural State College,Batangas State University-Malvar,Marinduque Midwest College,Bicol University-Tabaco Campus,Camarines Norte College,Bohol Northern Star College,Eastern Visayas State University,Hyrons College Philippines,IBA College of Mindanao,Davao del Sur State College-Main,Goldenstate College of Koronadal City,Hinatuan Southern College,Christ the King College of Science and Technology,Ifugao State University – Potia,Dansalan Polytechnic College
Ilocos Sur Polytechnic State College-Cervantes,Isabela State University-Cabagan,Bulacan Agricultural State College-Doña Remedios,Batangas State University-Nasugbu,Marinduque State University-Main Campus,Brentwood College of Asia International School,Camarines Norte State College-Abaño Campus,Bohol Northwestern Colleges,Eastern Visayas State University-Burauen,Jose Rizal Memorial State University – Main,Iligan Capitol College,Davao Doctors College,Goldenstate College of Maasim,Holy Child Colleges of Butuan City,City of Malabon University,Ifugao State University – Tinoc,Datu Ibrahim Paglas Memorial College
Ilocos Sur Polytechnic State College-Narvacan,Isabela State University-Cauayan,Bulacan Polytechnic College,Batangas State University-Rosario,Marinduque State University-Sta. Cruz Campus,Calabanga Community College,Capiz State University-Burias Campus,Bohol Wisdom School,Eastern Visayas State University-Carigara,Jose Rizal Memorial State University-Dipolog,Iligan Medical Center College,Davao Oriental State University,Green Valley College Foundation,Mt. Carmel College of San Francisco,City University of Pasay,Ifugao State University-Aguinaldo,Datu Mala Muslim Mindanao Islamic College
Ilocos Sur Polytechnic State College-Santiago,Isabela State University-Ilagan,Bulacan State University-Bustos,Batangas State University-San Juan,Mindoro State University-Bongabong Campus,Camarines Norte College,Capiz State University-Dayao,Buenavista Community College,Eastern Visayas State University-Ormoc,Jose Rizal Memorial State University-Katipunan Campus,Initao College,Davao Oriental State University-Banaybanay,Green Valley College Foundation – Isulan,North Eastern Mindanao State University-Cantilan,Colegio de San Gabriel Archangel of Caloocan,Kalinga Colleges of Science and Technology,De La Vida College
Ilocos Sur Polytechnic State College-Sta.Maria,Isabela State University-Jones,Bulacan State University-Hagonoy,Binangonan Catholic College,Mindoro State University-Calapan City Campus,Camarines Norte State College-Abaño Campus,Capiz State University-Dumarao Campus,Carmelite College – Siquijor,Eastern Visayas State University-Tanauan,Jose Rizal Memorial State University-Sibuco,La Salle University,Davao Oriental State University-Cateel Extension,Holy Child College of Information Technology,North Eastern Mindanao State University-Lianga,Colegio de San Juan de Letran,Kalinga State University-Main,Del Sur Good Shepherd College
Ilocos Sur Polytechnic State College-Tagudin,Isabela State University-Main,Bulacan State University-Main,Brookfield College in Cavite,Mindoro State University-Main Campus,Camarines Norte State College-Entienza Campus,Capiz State University-Main,CBD College,Franciscan College of the Immaculate Conception,Jose Rizal Memorial State University-Siocon,Lanao School of Science and Technology,Davao Oriental State University-San Isidro,Holy Trinity College of General Santos City,North Eastern Mindanao State University-Main,Colegio de Sta. Teresa de Avila Foundation,Keystone College,Dr. P. Ocampo Colleges
International College for Excellence,Isabela State University-Palanan,Bulacan State University-Meneses,BWEST College,Occidental Mindoro State College,Camarines Norte State College-Panganiban Campus,Capiz State University-Pilar Campus,Cebu Eastern College,Holy Cross College of Carigara,Jose Rizal Memorial State University-Tampilisan,Liceo De Cagayan University,Davao Vision Colleges,i-Link College of Science and Technology,North Eastern Mindanao State University-San Miguel,College of Divine Wisdom,King’s College of the Philippines-Benguet,Eastern Kutawato College
Lorma Colleges,Isabela State University-Roxas,Bulacan State University-San Jose Del Monte,Cainta Catholic College,Occidental Mindoro State College-Labangan Campus,Camarines Sur Polytechnic Colleges,Capiz State University-Pontevedra Campus,Cebu Institute of Technology-University,Holy Infant College,Josefina H. Cerilles State College,Lourdes College,Davao Winchester Colleges,King Solomon Institute,North Eastern Mindanao State University-Tagbina,College of Saint Amatiel,Mountain Province State University-Main,Enthusiastic College
Luna Colleges,Isabela State University-San Mariano,Camiling Colleges,Calamba Doctors’ College,Occidental Mindoro State College-Lubang Campus,Capalonga College,Capiz State University-Sigma Campus,Cebu Mary Immaculate College,Holy Virgin of Salvacion Foundation College,Josefina H. Cerilles State College – Dumingag,Magsaysay College,Evelyn E. Fabie College,King’s College of Isulan,Northeastern Mindanao Colleges,College of St. Catherine,Mountain Province State University-Tadian,Gani L. Abpi College
Lyceum Northern Luzon,Isabela State University-San Mateo,"Camiling Colleges, Inc.",Calauag Central College,Occidental Mindoro State College-Mamburao,Caramoan Community College,Capiz State University-Tapaz Campus,Cebu Normal University,Leyte Colleges,Josefina H. Cerilles State College-Canuto M.S. Enerio,Medina College,Gabriel Taborin College of Davao Foundation,King’s College of Marbel,Northern Mindanao Colleges,Concordia College,Philippine Nazarene College,Hadji Butu School of Arts And Trades
Lyceum Northwestern University,John Wesley College,Central Luzon College of Science and Technology-Olongapo,Calayan Educational Foundation,Occidental Mindoro State College-Murtha Campus,Cataingan Municipal College,Carlos Hilado Memorial State University-Alijis,Cebu Normal University – Balamban,Leyte Normal University,Lucan Central Colleges,Medina Foundation College,"Governor Generoso College of Arts, Sciences and Technology",Korbel Foundation College,Northwestern Agusan Colleges,De La Salle University-Manila,Pines City Colleges,Hardam Furigay Colleges Foundation
Lyceum Northwestern University-Urdaneta Campus,King’s College of the Philippines-Bambang,Central Luzon College of Science and Technology-San Fernando City,Canossa College,Occidental Mindoro State College-Sablayan Campus,Cataingan Polytechnic Institute,Carlos Hilado Memorial State University-Binalbagan,Cebu Normal University – Medellin,Mater Divinae Gratiae College,Marian College,Mindanao State University – Iligan Institute of Technology,Holy Child College of Davao,Kulaman Academy,Philippine Electronics and Communication Institute of Technology,De La Salle-Araneta University,Remnant International College,Headstart College of Cotabato
Malasiqui Agno Valley College,La Salette of Roxas College,Central Luzon State University,Casa Del Niño College,Palawan Polytechnic College,Catanduanes Colleges,Carlos Hilado Memorial State University-Main,Cebu Roosevelt Memorial College,Montano Lamberte Go Collegeof Learning,Medina College-Ipil,Mindanao State University-Lanao Del Norte,Holy Cross College of Calinan,Marbel School of Science and Technology,Philippine Normal University-Mindanao Campus,Diliman College,Saint Louis College of Bulanao,Illana Bay Integrated Computer College
Mariano Marcos State University-Laoag,Lyceum of Aparri,Centro Escolar University at Malolos,Cavite State University-Bacoor City Campus,Palawan State University,Catanduanes State University-Main,Ceguera Technological Colleges,Cebu Technological University – Main,Northern Samar Colleges,Mindanao State University-Buug College,Mindanao State University-Maigo School of Arts and Trades,Holy Cross College of Sasa,Marvelous College of Technology,Saint Francis Xavier College,Divine Mercy College Foundation,Saint Louis University,Iqra Development Academy
Metro-Dagupan Colleges,Lyceum of Tuao,CIT Colleges of Paniqui Foundation,Cavite State University-Carmona Campus,Palawan State University- Brooke’s Point,Catanduanes State University-Panganiban,Central Philippine Adventist College,Cebu Technological University-Argao Campus,Northwest Samar State University,Our Lady of Triumph Institute of Technology,Mindanao State University-Naawan,Holy Cross of Davao College,Mindanao State University-General Santos,Saint Joseph Institute of Technology,Dr. Carlos S. Lanting College,Saint Tonis College,Iranun Foundation College
Mystical Rose College of Science and Technology,Maila Rosario Colleges,City College of Angeles,Cavite State University-Cavite City Camous,Palawan State University-Bataraza,Ceguera Technological Colleges,Central Philippine University,Cebu Technological University-Barili Campus,Northwest Samar State University-San Jorge,Pagadian Capitol College,Misamis Oriental Institute of Science and Technology,Jose Maria College,New Hope School of Agriculture and Fishery,Saint Michael College of Caraga,Emilio Aguinaldo College,Star College,Jamiatu Dansalan Al-Islamia Foundation
NICOSAT Colleges,Mallig Plains Colleges,City College of San Fernando Pampanga,Cavite State University-General Trias Campus,Palawan State University-Coron,Central Bicol State University of Agriculture-Calabanga,Central Philippines State University – San Carlos,Cebu Technological University-Carmen,Our Lady of Mercy College,Philippine Advent College,Misamis University,"Kapalong College of Agriculture, Sciences and Technology",North Valley College Foundation,Saint Michael College-Cantilan,Eulogio “Amang” Rodriguez Institute of Science and Technology,University of Baguio,Jamiatu Marawi Al-Islamia Foundation
NJ Valdez Colleges Foundation,Northeast Luzon Adventist College,City College of San Jose del Monte,Cavite State University-Imus Campus,Palawan State University-Cuyo,Central Bicol State University of Agriculture-Main,Central Philippines State University – Victorias City,Cebu Technological University-Daanbantayan Campus,Palompon Institute of Technology,Philippine Advent College – Leon B. Postigo Campus,Misamis University-Oroquieta City,Kolehiyo ng Pantukan,Notre Dame of Dadiangas University,Saint Theresa College of Tandag,Far Eastern University,University of the Cordilleras,Jamiatu Muslim Mindanao
North Luzon Philippines State College,Northeastern College,"Colegio De Calumpit, Inc.",Cavite State University-Main,Palawan State University-Dumaran,Central Bicol State University of Agriculture-Pasacao,Central Philippines State University-Candoni,Cebu Technological University-Danao City Campus,Palompon Institute of Technology-Tabango,Philippine Advent College-Salug,Mountain View College,Laak Institute Foundation,Notre Dame of Kidapawan College,Saint Vincent de Paul Diocesan College,Febias College of Bible,Xijen College of Mt. Province,Jamiatul Philippine Al-Islamia
Northern Christian College,Northern Cagayan Colleges Foundation,Colegio De San Gabriel Arcangel,Cavite State University-Naic Campus,Palawan State University-Narra,Central Bicol State University of Agriculture-Sipocot,Central Philippines State University-Cauayan,Cebu Technological University-Moalboal Campus,Saint Joseph College,Pilar Colege of Zamboanga City,North Central Mindanao College,Legacy College of Compostela,Notre Dame of Marbel University,Siargao Island Institute of Technology,Global Reciprocal Colleges,,Khadijah Mohammad Islamic Academy
Northern Luzon Adventist College-Sison,Nueva Vizcaya State University – Main,Colegio De San Pascual Baylon,Cavite State University-Rosario Campus,Palawan State University-Quezon,Christian Polytechnic Institute of Catanduanes,Central Philippines State University-Hinigaran,Cebu Technological University-San Francisco Campus,Saint Michael College of Hindang,Rizal Memorial Institute of Dapitan City,Northern Bukidnon State College,Liceo De Davao,Notre Dame of Midsayap College,Southern Technological Institute of the Philippines,Golden Link College Foundation,,Kutawato Darrusalam College
Northern Luzon Adventist College-Sta.Maria,Nueva Vizcaya State University-Bambang,College for Research and Technology-Cabanatuan City,Cavite State University-Silang Campus,Palawan State University-Rizal,Community College of Manito,Central Philippines State University-Hinoba-An,Cebu Technological University-Tuburan Campus,Saint Thomas Aquinas College,Saint Columban College,Northwestern Mindanao State College of Science and Technology,Maco de Oro College,Notre Dame of Salaman College,Southway College of Technology,Governor Andres Pascual College,,Lake Lanao College
Northwestern University,Our Lady of the Pillar College-Cauayan,"College of Mary Immaculate of Pandi, Bulacan",Cavite State University-Tanza Campus,Palawan State University-Roxas,Computer Arts and Technological College-Ligao City,Central Philippines State University-Ilog,Colegio de San Antonio de Padua,Samar Colleges,Saint Estanislao Kostka College,Opol Community College,Maryknoll College of Panabo,Notre Dame of Tacurong College,St. Jude Thaddeus Institute of Technology,Grace Christian College,,Lanao Central College
Osias Educational Foundation,Our Lady of the Pillar College-Cauayan San Manuel,College of Saint Anthony-SJDM Bulacan,Cavite State University-Trece Martires City Campus,"Palawan State University-San Rafael, Puerto Princesa",Daniel B. Peña Memorial College Foundation,Central Philippines State University-Main,Colegio De Santa Catalina De Alejandria,Samar State University,Saint Joseph College of Sindangan,Pangantucan Bukidnon Community College,Mati Doctors College,Notre Dame-Siena College of Polomolok,St. Paul University Surigao,Greenville College,,Lanao Educational Institute
Palaris College,Patria Sable Corpus College,College of Saint Lawrence,Cavite West Point College,Palawan State University-Sofronio Española,Daraga Community College,Central Philippines State University-Moises Padilla,Consolacion Community College,Samar State University-Basey,Saint Vincent’s College,Philippine College Foundation,Mati Polytechnic College,Pacific Southbay College,Surigao Education Center,Holy Rosary College Foundation,,Lanao Islamic Paramedical College Foundation
Pangasinan Merchant Marine Academy,Philippine Normal University-North Luzon,College of Subic Montessori-Subic Bay,Citi Global College-Biñan,Palawan State University-Taytay,Divine Word College of Legazpi,Central Philippines State University-Sipalay,Consolatrix College of Toledo City,Samar State University-Mercedes,Sibugay Technical Institute,Pilgrim Christian College,MATS College of Technology,Primasia Foundation College,Surigao State College of Technology-Del Carmen,Immaculada Concepcion College,,Lapak Agricultural School
Pangasinan State University-Alaminos City,PLT College,College of the Holy Spirit of Tarlac,Citi Global College-Cabuyao,Paradigm Colleges of Science and Technology,Donsol Community College,Colegio de la Purisima Concepcion,Cordova Public College,Samar State University-Paranas,Southern City Colleges,Quezon Institute of Technology,Mindanao Kokusai Daigaku,Quezon Colleges of Southern Philippines,Surigao State College of Technology-Main,Immaculate Heart of Mary College-Parañaque,,Mahardika Institute of Technology
Pangasinan State University-Asingan,Quirino State University – Cabarroguis,College of the Immaculate Conception,City College of Calamba,Pinamalayan Maritime Foundation and Technological,Dr. Carlos S. Lanting College-Dr. Ruby Lanting Casaul,Colegio de San Jose-Jaro,Cristal e-College (Panglao Campus),Southern Leyte State University,Southern City Colleges-West Campus,Roman C. Villalon Memorial Colleges Foundation,"Monkayo College of Arts, Sciences and Technology",Ramon Magsaysay Memorial College – Marbel,Surigao State College of Technology-Mainit,Integrated Innovation and Hospitality Colleges,,Mapandi Memorial College
Pangasinan State University-Bayambang,Quirino State University – Maddela,College of the Most Holy Trinity Catholic Foundation,City College of Tagaytay,Polytechnic University of the Philippines-Bansud,"Dr. Emilio B. Espinosa, Sr. Memorial State College of",Colegio De Santa Rita De San Carlos,De La Salle Andres Soriano Memorial College,Southern Leyte State University-Hinunangan,Southern Mindanao Colleges,Sacred Heart College of Calamba,North Davao College-Tagum Foundation,Ramon Magsaysay Memorial Colleges,Surigao State College of Technology-Malimono,International Baptist College,,Maranao Islamic Institute – Ma’Had Maranao Al-Islamie
Pangasinan State University-Binmaley,Quirino State University-Diffun,College of the Our Lady of Mercy of Pulilan Foundation,Colegio de Amore,Polytechnic University of the Philippines-Sablayan,"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology",Colegio de Sta. Ana de Victorias,Diaz College,Southern Leyte State University-San Juan,Southern Peninsula College,Salay Community College,North Davao Colleges-Panabo,Saint Albert Polytechnic College,Surigao Sur Colleges,Jesus Reigns Christian College Foundation,,Marawi Capitol College Foundation
Pangasinan State University-Infanta,Saint Anthony’s College,Columban College-Olongapo City,Colegio de La Ciudad de Tayabas,Prince of Peace College,Estenias Science Foundation School,Colegio San Agustin-Bacolod,Felipe R. Verallo Memorial Foundation-Bogo,Southern Leyte State University-Tomas Oppus,St. Mary’s College of Labason,San Agustin Institute of Technology,Philippine College of Technology,Santa Cruz Mission School,University of Southeastern Philippines-Bislig Campus,Jose Rizal University,,Marawi Islamic College
Pangasinan State University-Lingayen,Saint Dominic College of Batanes,"Columban College-Sta. Cruz, Zambales",Colegio de Los Baños,Romblon State University-Cajidiocan Campus,Felix O. Alfelor Sr. Foundation College,College of St. John-Roxas,Foundation University,St. Mary’s College of Borongan,Universidad de Zamboanga,San Isidro College,Philippine Women’s College of Davao,Santo Niño College Foundation,,Kalayaan College,,Masiricampo Abantas Memorial Educational Center
Pangasinan State University-San Carlos City,Saint Ferdinand College-Cabagan,Concepcion Holy Cross College,Colegio de Montalban,Romblon State University-Calatrava Campus,Governor Mariano E. Villafuerte Community College-,"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology",Golden Success College,St. Mary’s College of Catbalogan,West Prime Horizon Institute,Santa Monica Institute of Technology,Saint Peter’s College of Toril,Schola de San Jose,,La Consolacion College-Caloocan,,Mindanao Autonomous College Foundation
Pangasinan State University-Sta. Maria,Saint Joseph’s College of Baggao,CORE Gateway College,Colegio de Porta Vaga,Romblon State University-Main,Governor Mariano E. Villafuerte Community College-,Fellowship Baptist College Of Kabankalan,Holy Name University,St. Peter’s College of Ormoc,Western Mindanao State University,Southern Capital Colleges,Samson Polytechnic College of Davao,Senator Ninoy Aquino College Foundation,,La Consolacion College-Manila,,Mindanao Autonomous College Foundation-Maluso
Pangasinan State University-Urdaneta City,Saint Mary’s University of Bayombong,Divina Pastora College,Colegio De San Juan De Letran-Calamba,Romblon State University-Romblon Campus,Governor Mariano E. Villafuerte Community College-,Filamer Christian University,Indiana School of Aeronautics,Sto. Niño College of Ormoc,Western Mindanao State University-Alicia,Southern De Oro Philippines College,San Pedro College,South East Asian Institute of Technology,,La Consolacion College-Novaliches,,Mindanao Capitol College
Panpacific University North Philippines-Tayug,Saint Paul University Philippines,Dominican College of Tarlac,Colegio de Santo Cristo de Burgos,Romblon State University-San Agustin Campus,Holy Trinity College of Camarines Sur,Guimaras State College-Main,La Consolacion College-Bais,Tan Ting Bing Memorial Colleges Foundation,Western Mindanao State University-Aurora,St. Michael’s College,Serapion C. Basalo Memorial Colleges,Southern Baptist College,,Lacson College,,Mindanao Islamic Computer College
Panpacific University-Urdaneta City,St. Ferdinand College-Ilagan,Don Honorio Ventura Technological State University-Apalit,Colegio de Sto. Domingo de Silos,Romblon State University-San Andres Campus,Infotech Development Systems Colleges,Hercor College,La Consolacion College-Liloan,The College of Maasin,Western Mindanao State University-Curuan,St. Peter’s College,South Philippine Adventist College,Southern Christian College,,Lady of Lourdes Hospital & Colleges of Caybiga,,Mindanao State University-Lanao National College of Arts and Trades
Pass College,St. Paul University Philippines,Don Honorio Ventura Technological State University-Bacolor,Colegio ng Lungsod ng Batangas,Romblon State University-San Fernando Campus,King Thomas Learning Academy,Iloilo Science And Technology University-Barotac,Lapu-lapu City College,University of Eastern Philippines,Western Mindanao State University-Diplahan,St. Peter’s College of Misamis Oriental,Southeastern College of Padada,Southern Mindanao Institute of Technology,,Loral Douglas Woosley Bethany Colleges,,Mindanao State University-Maguindanao
Perpetual Help College of Pangasinan,University of Cagayan Valley,Don Honorio Ventura Technological State University-Candaba,College of Saint John Paul II Arts And Sciences,Romblon State University-Sta. Fe Campus,La Consolacion College-Daet,Iloilo Science And Technology University-Dumangas,Larmen De Guia Memorial College,University of Eastern Philippines-Catubig,Western Mindanao State University-Imelda,St. Rita’s College of Balingasag,"Southern Philippines Agriculture, Business, Marine and Aquatic School of Technology",Southern Philippine Technical College of Koronadal,,Lyceum of Alabang,,Mindanao State University-Main Campus Marawi City
Philippine College of Northwestern Luzon,University of La Salette,Don Honorio Ventura Technological State University-Lubao,College of San Benildo-Rizal,Romblon State University-Sta. Maria Campus,La Consolacion College-Iriga City,Iloilo Science And Technology University-Leon,Lyceum of Cebu,University of Eastern Philippines-Laoang,Western Mindanao State University-Ipil,Stella Maris College,St. John Paul II College of Davao,Southern Philippines Methodist College,,Makati Science Technological Institute of the,,Mindanao State University-Sulu Development
Philippine College of Science and Technology,University of Perpetual Help System,Don Honorio Ventura Technological State University-Mexico,CSTC College of Sciences Technology and,San Brendan College,Libon Community College,Iloilo Science And Technology University-Main,Madridejos Community College,Visayas State University,Western Mindanao State University-Mabuhay,Tagoloan Community College,St. Mary’s College Baganga,Southpoint College of Arts and Technology,,Manila Central University,,Mindanao State University-Tawi-Tawi College of College of Technology and Oceanography
Philippine Darakbang Theological College,University of Saint Louis-Tuguegarao,Don Honorio Ventura Technological State University-Porac,CVE Colleges,San Francisco Javier College,Liceo de Masbate,Iloilo Science And Technology University-Miagao,Mandaue City College,Visayas State University-Alang-Alang,Western Mindanao State University-Malangas,The New El Salvador Colleges,St. Mary’S College of Bansalan,St. Alexius College,,Manuel L. Quezon University,,Mindanaoan Integrated Academy
PIMSAT Colleges-Dagupan,,Don Honorio Ventura Technological State University-Sto.Tomas,Daehan College of Business and Technology,Santa Cruz Institute-Marinduque,Liceo de San Jacinto Foundation,Iloilo State College of Fisheries-Barotac Nuevo,Mater Dei College-Bohol,Visayas State University-Isabel,Western Mindanao State University-Molave,Tubod College,St. Mary’s College of Tagum,STI College-Gen. Santos,,Mapua University-Manila,,Notre Dame of Jolo College
PIMSAT Colleges-San Carlos City,,Dr. Gloria D. Lacson Foundation Colleges – Nueva Ecija,Dalubhasaan ng Lungsod ng Lucena,Southwestern Institute of Business and Technology,Ligao Community College,Iloilo State College of Fisheries-Dingle,Metro Dumaguete College,Visayas State University-Tolosa,Western Mindanao State University-Naga,University of Science and Technology in Southern Philippines,St. Thomas More School of Law and Business,Stratford International School,,Marie-Bernarde College,,Notre Dame RVM College of Cotabato
Polytechnic College of La union,,Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan,Dalubhasaan ng Lungsod ng San Pablo,St. Anthony College-Calapan City,Lyceum of St. Dominic,Iloilo State College of Fisheries-Dumangas,Mount Moriah College,Visayas State University-Villaba,Western Mindanao State University-Olutanga,University of Science and Technology in Southern Philippines,STI College-Tagum,Sultan Kudarat Educational Institution,,Marikina Polytechnic College,,Notre Dame University
